"Chronic Absenteeism, 2011-12",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,8.1
Amistad Academy District,2790013,Amistad Academy,2795113,2.6
Andover School District,0010011,Andover Elementary School,0010111,*
Ansonia School District,0020011,Ansonia High School,0026111,11.8
Ansonia School District,0020011,Ansonia Middle School,0025111,*
Ansonia School District,0020011,Mead School,0020311,12.9
Ansonia School District,0020011,Prendergast School,0020811,10.3
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,17.6
Area Cooperative Educational Services,2440014,Mill Road School,2449414,39
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,10.8
Area Cooperative Educational Services,2440014,Village School,2449514,29.1
Area Cooperative Educational Services,2440014,Whitney High School East,2449214,37.7
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,69.6
Area Cooperative Educational Services,2440014,Whitney High School West,2449314,25.5
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,7.5
Ashford School District,0030011,Ashford School,0030111,9.1
Avon School District,0040011,Avon High School,0046111,2.9
Avon School District,0040011,Avon Middle School,0045111,5.9
Avon School District,0040011,Pine Grove School,0040411,5.4
Avon School District,0040011,Roaring Brook School,0040311,3.6
Avon School District,0040011,Thompson Brook School,0040511,5.1
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3.2
Berlin School District,0070011,Berlin High School,0076111,7.8
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,7.8
Berlin School District,0070011,Emma Hart Willard School,0070411,2.9
Berlin School District,0070011,Mary E. Griswold School,0070511,3.1
Berlin School District,0070011,Richard D. Hubbard School,0070111,2.9
Bethany School District,0080011,Bethany Community School,0080111,*
Bethel School District,0090011,Anna H. Rockwell School,0090411,6.1
Bethel School District,0090011,Bethel High School,0096111,7.7
Bethel School District,0090011,Bethel Middle School,0095111,7.4
Bethel School District,0090011,Frank A. Berry School,0090111,2.3
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,3.7
Bloomfield School District,0110011,Bloomfield High School,0116111,10.1
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,3.1
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,9.1
Bloomfield School District,0110011,J. P. Vincent School,0110311,7.5
Bloomfield School District,0110011,Metacomet School,0110511,4
Bloomfield School District,0110011,The Big Picture High School,0116211,7.1
Bloomfield School District,0110011,Wintonbury Early Childhood Magnet School,0110811,6.2
Bolton School District,0120011,Bolton Center School,0120111,2.4
Bolton School District,0120011,Bolton High School,0126111,3
Bozrah School District,0130011,Fields Memorial School,0130111,*
Branford School District,0140011,Branford High School,0146111,10.1
Branford School District,0140011,Francis Walsh Intermediate School,0145111,7.7
Branford School District,0140011,John B. Sliney School,0141611,4.2
Branford School District,0140011,Mary R. Tisko School,0141511,4.2
Branford School District,0140011,Mary T. Murphy School,0141411,5.2
Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,1.4
Bridgeport School District,0150011,Barnum School,0150111,22.5
Bridgeport School District,0150011,Bassick High School,0156111,38.9
Bridgeport School District,0150011,Beardsley School,0150211,18.5
Bridgeport School District,0150011,Black Rock School,0150311,13.1
Bridgeport School District,0150011,Blackham School,0154011,13.6
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,*
