"Chronic Absenteeism, 2013-14",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,6.1
Amistad Academy District,2790013,Amistad Academy,2795113,3.5
Andover School District,0010011,Andover Elementary School,0010111,*
Ansonia School District,0020011,Ansonia High School,0026111,15.3
Ansonia School District,0020011,Ansonia Middle School,0025111,13.8
Ansonia School District,0020011,Mead School,0020311,*
Ansonia School District,0020011,Prendergast School,0020811,8.2
Area Cooperative Educational Services,2440014,Center for Autism Spectrum and Development Disorders,2449614,*
Area Cooperative Educational Services,2440014,Mill Road School,2449414,41.2
Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,13.5
Area Cooperative Educational Services,2440014,Village School,2449514,33.8
Area Cooperative Educational Services,2440014,Whitney High School East,2449214,45.2
Area Cooperative Educational Services,2440014,Whitney High School North,2449114,71.3
Area Cooperative Educational Services,2440014,Whitney High School West,2449314,*
Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,11.4
Ashford School District,0030011,Ashford School,0030111,*
Avon School District,0040011,Avon High School,0046111,3.7
Avon School District,0040011,Avon Middle School,0045111,5.1
Avon School District,0040011,Pine Grove School,0040411,5
Avon School District,0040011,Roaring Brook School,0040311,5.9
Avon School District,0040011,Thompson Brook School,0040511,4.9
Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,3.5
Berlin School District,0070011,Berlin High School,0076111,9.4
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,3.5
Berlin School District,0070011,Emma Hart Willard School,0070411,2.6
Berlin School District,0070011,Mary E. Griswold School,0070511,1.4
Berlin School District,0070011,Richard D. Hubbard School,0070111,3.6
Bethany School District,0080011,Bethany Community School,0080111,4.9
Bethel School District,0090011,Anna H. Rockwell School,0090411,3.8
Bethel School District,0090011,Bethel High School,0096111,9.9
Bethel School District,0090011,Bethel Middle School,0095111,4.4
Bethel School District,0090011,Frank A. Berry School,0090111,*
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,14.8
Bloomfield School District,0110011,Bloomfield High School,0116111,8
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,*
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,7.4
Bloomfield School District,0110011,Global Experience Magnet School,0116311,10.7
Bloomfield School District,0110011,Laurel School,0110611,4.3
Bloomfield School District,0110011,Learning Academy at Bloomfield,0116411,*
Bloomfield School District,0110011,Metacomet School,0110511,2.7
Bloomfield School District,0110011,Wintonbury Early Childhood Magnet School,0110811,22.5
Bolton School District,0120011,Bolton Center School,0120111,5.8
Bolton School District,0120011,Bolton High School,0126111,4.5
Bozrah School District,0130011,Fields Memorial School,0130111,7.4
Branford School District,0140011,Branford High School,0146111,14.4
Branford School District,0140011,Francis Walsh Intermediate School,0145111,6.7
Branford School District,0140011,John B. Sliney School,0141611,4.1
Branford School District,0140011,Mary R. Tisko School,0141511,4.7
Branford School District,0140011,Mary T. Murphy School,0141411,7
Brass City Charter School District,2900013,Brass City Charter School,2900113,12.3
Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,2.9
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",0150811,12.1
Bridgeport School District,0150011,Barnum School,0150111,26
Bridgeport School District,0150011,Bassick High School,0156111,41.4
Bridgeport School District,0150011,Beardsley School,0150211,17.9
Bridgeport School District,0150011,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",0150611,12
Bridgeport School District,0150011,Black Rock School,0150311,13.3
Bridgeport School District,0150011,Blackham School,0154011,17.2
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,19.4
Bridgeport School District,0150011,Bridgeport Military Academy,0151611,0
Bridgeport School District,0150011,Bryant School,0150411,17.2
Bridgeport School District,0150011,Central High School,0156211,32.4
Bridgeport School District,0150011,Cesar Batalla School,0151411,16.7
Bridgeport School District,0150011,Classical Studies Academy,0152111,2.8
Bridgeport School District,0150011,Columbus School,0150511,28.1
Bridgeport School District,0150011,Cross School,0153911,25.7
Bridgeport School District,0150011,Curiale School,0154211,29.1
Bridgeport School District,0150011,Dunbar School,0154111,30.4
Bridgeport School District,0150011,Edison School,0150711,13.9
Bridgeport School District,0150011,Geraldine Johnson School,0153211,7.2
Bridgeport School District,0150011,Hall School,0151111,16.3
Bridgeport School District,0150011,Hallen School,0151211,12.7
Bridgeport School District,0150011,Harding High School,0156311,43.9
Bridgeport School District,0150011,High Horizons Magnet School,0154511,*
Bridgeport School District,0150011,Hooker School,0151311,14.8
Bridgeport School District,0150011,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,0151511,0
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,4.1
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,33.6
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,27.2
Bridgeport School District,0150011,Madison School,0152011,14.9
Bridgeport School District,0150011,Multicultural Magnet School,0154611,1.8
Bridgeport School District,0150011,Park City Magnet School,0151711,5.5
Bridgeport School District,0150011,Pride Academy,0151811,0
Bridgeport School District,0150011,Read School,0152511,15
Bridgeport School District,0150011,Roosevelt School,0152611,28.5
Bridgeport School District,0150011,Waltersville School,0153011,26.4
Bridgeport School District,0150011,Winthrop School,0153611,6.8
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,47.8
Bristol School District,0170011,Bristol Central High School,0176111,16
Bristol School District,0170011,Bristol Eastern High School,0176211,14.8
Bristol School District,0170011,Chippens Hill Middle School,0175111,10.8
Bristol School District,0170011,Community/Vocational Program,0179211,*
Bristol School District,0170011,Edgewood School,0170311,7.8
Bristol School District,0170011,Ellen P. Hubbell School,0171411,5.4
Bristol School District,0170011,Greene-Hills School,0170511,8.7
Bristol School District,0170011,Ivy Drive School,0171911,7.3
Bristol School District,0170011,Mountain View School,0171711,4.4
Bristol School District,0170011,Northeast Middle School,0175211,7
Bristol School District,0170011,South Side School,0171111,8.8
Bristol School District,0170011,Stafford School,0171211,18.2
Bristol School District,0170011,West Bristol School,0172011,12.3
